track,dataset,unit,seed,experiment_name,run_id,group,model_variant,monitor_preset,trigger_mode,confirm_theta,confirm_window,confirm_cooldown,weights,log_path,horizon,acc_final,acc_min_raw,acc_min@2000,miss_tol500,MDR_tol500,cand_P50,cand_P90,cand_P99,conf_P50,conf_P90,conf_P99,MTFA_win,confirmed_count_total,confirm_rate_per_10k
U,sea_abrupt4,sample_idx,1,trackU_synth_generalization,20260108-213705-am7_sea_abrupt4_A_or_defaultPH_theta0.50_w1_cd0,A_or_defaultPH,ts_drift_adapt,error_divergence_ph_meta,or,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackU_synth_generalization/sea_abrupt4/ts_drift_adapt/seed1/20260108-213705-am7_sea_abrupt4_A_or_defaultPH_theta0.50_w1_cd0/sea_abrupt4__ts_drift_adapt__seed1.csv,50000,0.87644,0.359375,0.75244140625,0.5,0.5,599.0,1079.0,1187.0,599.0,1079.0,1187.0,1768.2962962962963,32,6.4
U,sea_abrupt4,sample_idx,2,trackU_synth_generalization,20260108-213705-am7_sea_abrupt4_A_or_defaultPH_theta0.50_w1_cd0,A_or_defaultPH,ts_drift_adapt,error_divergence_ph_meta,or,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackU_synth_generalization/sea_abrupt4/ts_drift_adapt/seed2/20260108-213705-am7_sea_abrupt4_A_or_defaultPH_theta0.50_w1_cd0/sea_abrupt4__ts_drift_adapt__seed2.csv,50000,0.86656,0.712890625,0.74609375,0.5,0.5,631.0,1079.0,1187.0,631.0,1079.0,1187.0,1826.4615384615386,31,6.2
U,sea_abrupt4,sample_idx,3,trackU_synth_generalization,20260108-213705-am7_sea_abrupt4_A_or_defaultPH_theta0.50_w1_cd0,A_or_defaultPH,ts_drift_adapt,error_divergence_ph_meta,or,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackU_synth_generalization/sea_abrupt4/ts_drift_adapt/seed3/20260108-213705-am7_sea_abrupt4_A_or_defaultPH_theta0.50_w1_cd0/sea_abrupt4__ts_drift_adapt__seed3.csv,50000,0.88088,0.640625,0.7741477272727273,0.5,0.5,631.0,1079.0,1187.0,631.0,1079.0,1187.0,1773.037037037037,32,6.4
U,sea_abrupt4,sample_idx,4,trackU_synth_generalization,20260108-213705-am7_sea_abrupt4_A_or_defaultPH_theta0.50_w1_cd0,A_or_defaultPH,ts_drift_adapt,error_divergence_ph_meta,or,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackU_synth_generalization/sea_abrupt4/ts_drift_adapt/seed4/20260108-213705-am7_sea_abrupt4_A_or_defaultPH_theta0.50_w1_cd0/sea_abrupt4__ts_drift_adapt__seed4.csv,50000,0.87248,0.59375,0.77734375,0.75,0.75,999.0,1479.0,1586.9999999999998,999.0,1479.0,1586.9999999999998,1851.076923076923,31,6.2
U,sea_abrupt4,sample_idx,5,trackU_synth_generalization,20260108-213705-am7_sea_abrupt4_A_or_defaultPH_theta0.50_w1_cd0,A_or_defaultPH,ts_drift_adapt,error_divergence_ph_meta,or,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackU_synth_generalization/sea_abrupt4/ts_drift_adapt/seed5/20260108-213705-am7_sea_abrupt4_A_or_defaultPH_theta0.50_w1_cd0/sea_abrupt4__ts_drift_adapt__seed5.csv,50000,0.87176,0.61328125,0.74609375,0.5,0.5,599.0,1079.0,1187.0,599.0,1079.0,1187.0,1737.4814814814815,32,6.4
U,sea_abrupt4,sample_idx,1,trackU_synth_generalization,20260108-213750-7kp_sea_abrupt4_B_or_tunedPH_theta0.50_w1_cd0,B_or_tunedPH,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",or,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackU_synth_generalization/sea_abrupt4/ts_drift_adapt/seed1/20260108-213750-7kp_sea_abrupt4_B_or_tunedPH_theta0.50_w1_cd0/sea_abrupt4__ts_drift_adapt__seed1.csv,50000,0.87376,0.609375,0.76171875,0.0,0.0,199.0,250.20000000000002,254.52,199.0,250.20000000000002,254.52,334.7027027027027,153,30.6
U,sea_abrupt4,sample_idx,2,trackU_synth_generalization,20260108-213750-7kp_sea_abrupt4_B_or_tunedPH_theta0.50_w1_cd0,B_or_tunedPH,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",or,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackU_synth_generalization/sea_abrupt4/ts_drift_adapt/seed2/20260108-213750-7kp_sea_abrupt4_B_or_tunedPH_theta0.50_w1_cd0/sea_abrupt4__ts_drift_adapt__seed2.csv,50000,0.87106,0.484375,0.70556640625,0.0,0.0,151.0,253.40000000000003,283.64,151.0,253.40000000000003,283.64,337.4149659863946,152,30.4
U,sea_abrupt4,sample_idx,3,trackU_synth_generalization,20260108-213750-7kp_sea_abrupt4_B_or_tunedPH_theta0.50_w1_cd0,B_or_tunedPH,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",or,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackU_synth_generalization/sea_abrupt4/ts_drift_adapt/seed3/20260108-213750-7kp_sea_abrupt4_B_or_tunedPH_theta0.50_w1_cd0/sea_abrupt4__ts_drift_adapt__seed3.csv,50000,0.87092,0.6796875,0.7736742424242424,0.0,0.0,71.0,251.80000000000004,312.2799999999999,71.0,251.80000000000004,312.2799999999999,333.4228187919463,154,30.8
U,sea_abrupt4,sample_idx,4,trackU_synth_generalization,20260108-213750-7kp_sea_abrupt4_B_or_tunedPH_theta0.50_w1_cd0,B_or_tunedPH,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",or,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackU_synth_generalization/sea_abrupt4/ts_drift_adapt/seed4/20260108-213750-7kp_sea_abrupt4_B_or_tunedPH_theta0.50_w1_cd0/sea_abrupt4__ts_drift_adapt__seed4.csv,50000,0.87078,0.59375,0.76806640625,0.0,0.0,255.0,403.80000000000007,442.67999999999995,255.0,403.80000000000007,442.67999999999995,335.6756756756757,153,30.6
U,sea_abrupt4,sample_idx,5,trackU_synth_generalization,20260108-213750-7kp_sea_abrupt4_B_or_tunedPH_theta0.50_w1_cd0,B_or_tunedPH,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",or,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackU_synth_generalization/sea_abrupt4/ts_drift_adapt/seed5/20260108-213750-7kp_sea_abrupt4_B_or_tunedPH_theta0.50_w1_cd0/sea_abrupt4__ts_drift_adapt__seed5.csv,50000,0.87598,0.359375,0.70654296875,0.0,0.0,231.0,314.20000000000005,318.52,231.0,314.20000000000005,318.52,341.1862068965517,150,30.0
