track,dataset,base_dataset_name,dataset_type,unit,seed,experiment_name,run_id,group,monitor_preset,trigger_mode,confirm_theta,confirm_window,confirm_cooldown,log_path,horizon,acc_final,mean_acc,acc_min_raw,confirmed_count_total,confirm_rate_per_10k,MTFA_win
AB,sea_nodrift,sea_abrupt4,sea,sample_idx,1,trackAB_nodrift_sanity,20260109-012402-ugf_sea_nodrift_B_or_tunedPH_cd0,B_or_tunedPH,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",or,0.5,1,0,logs/trackAB_nodrift_sanity/sea_abrupt4/ts_drift_adapt/seed1/20260109-012402-ugf_sea_nodrift_B_or_tunedPH_cd0/sea_abrupt4__ts_drift_adapt__seed1.csv,50000,0.86636,0.8189342204770915,0.6171875,153,30.6,325.89473684210526
AB,sea_nodrift,sea_abrupt4,sea,sample_idx,1,trackAB_nodrift_sanity,20260109-012419-q74_sea_nodrift_C_weighted_tunedPH_cd0,C_weighted_tunedPH,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",weighted,0.5,1,0,logs/trackAB_nodrift_sanity/sea_abrupt4/ts_drift_adapt/seed1/20260109-012419-q74_sea_nodrift_C_weighted_tunedPH_cd0/sea_abrupt4__ts_drift_adapt__seed1.csv,50000,0.87454,0.8154192246097063,0.25,148,29.6,337.8503401360544
AB,sea_nodrift,sea_abrupt4,sea,sample_idx,1,trackAB_nodrift_sanity,20260109-012430-xg1_sea_nodrift_D_two_stage_tunedPH_cd200_cd200,D_two_stage_tunedPH_cd200,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,logs/trackAB_nodrift_sanity/sea_abrupt4/ts_drift_adapt/seed1/20260109-012430-xg1_sea_nodrift_D_two_stage_tunedPH_cd200_cd200/sea_abrupt4__ts_drift_adapt__seed1.csv,50000,0.8738,0.8268363348674921,0.46875,151,30.2,331.0933333333333
AB,sea_nodrift,sea_abrupt4,sea,sample_idx,2,trackAB_nodrift_sanity,20260109-012441-hom_sea_nodrift_B_or_tunedPH_cd0,B_or_tunedPH,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",or,0.5,1,0,logs/trackAB_nodrift_sanity/sea_abrupt4/ts_drift_adapt/seed2/20260109-012441-hom_sea_nodrift_B_or_tunedPH_cd0/sea_abrupt4__ts_drift_adapt__seed2.csv,50000,0.86492,0.8098717118110988,0.359375,154,30.8,324.70588235294116
AB,sea_nodrift,sea_abrupt4,sea,sample_idx,2,trackAB_nodrift_sanity,20260109-012453-6tv_sea_nodrift_C_weighted_tunedPH_cd0,C_weighted_tunedPH,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",weighted,0.5,1,0,logs/trackAB_nodrift_sanity/sea_abrupt4/ts_drift_adapt/seed2/20260109-012453-6tv_sea_nodrift_C_weighted_tunedPH_cd0/sea_abrupt4__ts_drift_adapt__seed2.csv,50000,0.87344,0.8214565992030838,0.7049632352941176,150,30.0,330.30872483221475
AB,sea_nodrift,sea_abrupt4,sea,sample_idx,2,trackAB_nodrift_sanity,20260109-012505-2av_sea_nodrift_D_two_stage_tunedPH_cd200_cd200,D_two_stage_tunedPH_cd200,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,logs/trackAB_nodrift_sanity/sea_abrupt4/ts_drift_adapt/seed2/20260109-012505-2av_sea_nodrift_D_two_stage_tunedPH_cd200_cd200/sea_abrupt4__ts_drift_adapt__seed2.csv,50000,0.86326,0.8043700092454817,0.203125,153,30.6,326.8421052631579
AB,sea_nodrift,sea_abrupt4,sea,sample_idx,3,trackAB_nodrift_sanity,20260109-012516-71b_sea_nodrift_B_or_tunedPH_cd0,B_or_tunedPH,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",or,0.5,1,0,logs/trackAB_nodrift_sanity/sea_abrupt4/ts_drift_adapt/seed3/20260109-012516-71b_sea_nodrift_B_or_tunedPH_cd0/sea_abrupt4__ts_drift_adapt__seed3.csv,50000,0.87708,0.8280005087574775,0.40625,150,30.0,332.4563758389262
AB,sea_nodrift,sea_abrupt4,sea,sample_idx,3,trackAB_nodrift_sanity,20260109-012528-q4j_sea_nodrift_C_weighted_tunedPH_cd0,C_weighted_tunedPH,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",weighted,0.5,1,0,logs/trackAB_nodrift_sanity/sea_abrupt4/ts_drift_adapt/seed3/20260109-012528-q4j_sea_nodrift_C_weighted_tunedPH_cd0/sea_abrupt4__ts_drift_adapt__seed3.csv,50000,0.88062,0.8376663128091457,0.6015625,149,29.8,335.13513513513516
AB,sea_nodrift,sea_abrupt4,sea,sample_idx,3,trackAB_nodrift_sanity,20260109-012540-q4o_sea_nodrift_D_two_stage_tunedPH_cd200_cd200,D_two_stage_tunedPH_cd200,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,logs/trackAB_nodrift_sanity/sea_abrupt4/ts_drift_adapt/seed3/20260109-012540-q4o_sea_nodrift_D_two_stage_tunedPH_cd200_cd200/sea_abrupt4__ts_drift_adapt__seed3.csv,50000,0.8649,0.8184718139850444,0.328125,151,30.2,331.0933333333333
AB,sea_nodrift,sea_abrupt4,sea,sample_idx,4,trackAB_nodrift_sanity,20260109-012552-mee_sea_nodrift_B_or_tunedPH_cd0,B_or_tunedPH,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",or,0.5,1,0,logs/trackAB_nodrift_sanity/sea_abrupt4/ts_drift_adapt/seed4/20260109-012552-mee_sea_nodrift_B_or_tunedPH_cd0/sea_abrupt4__ts_drift_adapt__seed4.csv,50000,0.87978,0.8328059576698841,0.59375,153,30.6,326.7368421052632
