track,phase,dataset,dataset_kind,base_dataset_name,unit,n_runs,group,monitor_preset,confirm_theta,confirm_window,confirm_cooldown,confirm_rule,perm_stat,delta_k,perm_alpha,perm_pre_n,perm_post_n,perm_n_perm,weights,horizon_mean,acc_final_mean,acc_final_std,acc_min@2000_mean,acc_min@2000_std,miss_tol500_mean,conf_P90_mean,MTFA_win_mean,MTFA_win_std,confirm_rate_per_10k_mean,confirm_rate_per_10k_std,candidate_count_mean,confirmed_count_mean,run_index_json
AL,quick,sea_nodrift,nodrift,sea_abrupt4,sample_idx,1,A_weighted_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,weighted,N/A,N/A,N/A,N/A,N/A,N/A,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",51200.0,0.8861328125,,0.705078125,,,,341.4765100671141,,29.296875,,150.0,150.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sine_nodrift,nodrift,sine_abrupt4,sample_idx,1,A_weighted_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,weighted,N/A,N/A,N/A,N/A,N/A,N/A,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",50000.0,0.67128,,0.6493841240875913,,,,335.6756756756757,,29.8,,149.0,149.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sea_abrupt4,drift,sea_abrupt4,sample_idx,1,A_weighted_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,weighted,N/A,N/A,N/A,N/A,N/A,N/A,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",51200.0,0.8861328125,,0.705078125,,0.0,210.20000000000002,350.8965517241379,,,,150.0,150.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sine_abrupt4,drift,sine_abrupt4,sample_idx,1,A_weighted_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,weighted,N/A,N/A,N/A,N/A,N/A,N/A,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",50000.0,0.67128,,0.6493841240875913,,0.0,234.2,345.0,,,,149.0,149.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170733-pdl_A_weighted_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170733-pdl_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sea_nodrift,nodrift,sea_abrupt4,sample_idx,1,P_perm_fused_score_a0.01_pre200_post50_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,perm_test,fused_score,N/A,0.01,200,50,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",51200.0,0.884453125,,0.72509765625,,,,477.25714285714287,,20.703125,,128.0,106.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sine_nodrift,nodrift,sine_abrupt4,sample_idx,1,P_perm_fused_score_a0.01_pre200_post50_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,perm_test,fused_score,N/A,0.01,200,50,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",50000.0,0.66044,,0.6342055991440799,,,,464.45714285714286,,21.2,,128.0,106.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sea_abrupt4,drift,sea_abrupt4,sample_idx,1,P_perm_fused_score_a0.01_pre200_post50_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,perm_test,fused_score,N/A,0.01,200,50,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",51200.0,0.884453125,,0.72509765625,,0.0,400.6,496.15841584158414,,,,128.0,106.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sine_abrupt4,drift,sine_abrupt4,sample_idx,1,P_perm_fused_score_a0.01_pre200_post50_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,perm_test,fused_score,N/A,0.01,200,50,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",50000.0,0.66044,,0.6342055991440799,,0.0,335.00000000000006,482.8514851485148,,,,128.0,106.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170756-m11_P_perm_fused_score_a0.01_pre200_post50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sea_nodrift,nodrift,sea_abrupt4,sample_idx,1,P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,perm_test,delta_fused_score,50,0.01,200,50,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",51200.0,0.88310546875,,0.72265625,,,,517.9381443298969,,19.140625,,126.0,98.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
AL,quick,sine_nodrift,nodrift,sine_abrupt4,sample_idx,1,P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5,"error_divergence_ph_meta@error.threshold=0.10,error.min_instances=5",0.5,3,200,perm_test,delta_fused_score,50,0.01,200,50,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",50000.0,0.64988,,0.6209432952924394,,,,668.054794520548,,14.8,,130.0,74.0,"{""sea_nodrift"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_nodrift"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""nodrift"", ""stream_kwargs"": {""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sea_abrupt4"": {""base_dataset_name"": ""sea_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv""}]}, ""sine_abrupt4"": {""base_dataset_name"": ""sine_abrupt4"", ""dataset_kind"": ""drift"", ""stream_kwargs"": {}, ""runs"": [{""seed"": 1, ""run_id"": ""20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5"", ""log_path"": ""logs/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260110-170816-8jb_P_perm_delta_fused_score_a0.01_pre200_post50_dk50_n5/sine_abrupt4__ts_drift_adapt__seed1.csv""}]}}"
