stage,track,dataset,config_tag,confirm_theta,confirm_window,confirm_cooldown,monitor_preset,n_runs,acc_final_mean,acc_final_std,acc_min_mean,acc_min_std,MTFA_win_mean,MTR_win_mean,miss_tol500_mean,MDR_tol500_mean,conf_p50,conf_p90,conf_p99,group,miss_tol500_std,conf_P90_mean,conf_P90_std,MTFA_win_std,use_severity_v2,severity_gate,severity_gate_min_streak,model_variant,post_mean@W1000_mean,post_mean@W1000_std,post_min@W1000_mean,post_min@W1000_std,recovery_time_to_pre90_mean,recovery_time_to_pre90_std
NEXT_STAGE_V6,O,sea_abrupt4,theta0.30_w1_cd0,0.3,1,0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.87708,0.005008253188488012,0.45625,0.16365276215970204,337.2408163265306,2.80683598768768,0.0,0.0,127.0,271.0,283.96,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.30_w1_cd1000,0.3,1,1000,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.876224,0.008119992610834096,0.5125,0.0879730516266203,1395.9314285714286,3.7939587157292967,0.35,0.35,383.0,770.2,876.76,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.30_w1_cd200,0.3,1,200,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.873452,0.004961745660551339,0.48125,0.07444455780982247,341.76708108530767,2.3081323013588766,0.0,0.0,151.0,288.6,315.96,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.30_w1_cd500,0.3,1,500,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.875248,0.007353877888570072,0.4,0.16409969816395154,693.3081511289962,1.8140096507656924,0.35,0.35,407.0,592.6,619.96,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.30_w2_cd0,0.3,2,0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.869088,0.004960435464755083,0.5502976190476191,0.13404488170416193,339.7533130033623,2.0189538741484396,0.0,0.0,151.0,272.6,299.96,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.30_w2_cd1000,0.3,2,1000,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.87228,0.007979360876661718,0.48125,0.14380094206054422,1379.047619047619,2.726381603034355,0.55,0.55,551.0,911.0,1183.1599999999996,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.30_w2_cd200,0.3,2,200,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.874332,0.006242573187396371,0.49114583333333334,0.13035928749730705,339.85172816076926,2.037499236568535,0.0,0.0,167.0,304.6,357.87999999999994,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.30_w2_cd500,0.3,2,500,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.873968,0.00970701395898861,0.5509114583333333,0.14133783210935869,696.0061711330786,2.250937850727619,0.3,0.3,327.0,575.0,613.8799999999999,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.30_w3_cd0,0.3,3,0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.878428,0.006510861694123124,0.55,0.14123133173095834,339.3045558201836,1.9254263621751777,0.0,0.0,199.0,303.0,315.96,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.30_w3_cd1000,0.3,3,1000,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.874428,0.007075628593983698,0.353125,0.14599135783497597,1391.1693744164334,3.059321705273961,0.5,0.5,503.0,855.0000000000001,952.9200000000001,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.30_w3_cd200,0.3,3,200,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.878424,0.006511764737765055,0.409375,0.1869784412706449,340.575531412376,1.7229512572398438,0.0,0.0,231.0,304.6,319.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.30_w3_cd500,0.3,3,500,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.86558,0.0099825247307482,0.490625,0.10162257838443187,687.504739854653,2.484128343991932,0.15,0.15,287.0,559.0,584.92,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.40_w1_cd0,0.4,1,0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.876132,0.003730270767652151,0.4390625,0.18947527254565436,341.66598016060465,1.6494180511975596,0.0,0.0,247.0,319.0,319.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.40_w1_cd1000,0.4,1,1000,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.8747240000000001,0.005760163192132629,0.49375,0.18039940496714507,1394.6514285714286,5.693916881568616,0.5,0.5,495.0,896.6,911.0,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.40_w1_cd200,0.4,1,200,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.872092,0.010547915433866515,0.5050080128205128,0.15610534271879803,341.43215661575607,1.8604050860125203,0.0,0.0,223.0,288.6,315.96,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.40_w1_cd500,0.4,1,500,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.873828,0.005456016862144045,0.4953125,0.2065220743346822,690.7614576346971,2.1263023768704508,0.3,0.3,367.0,560.6,587.96,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.40_w2_cd0,0.4,2,0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.878456,0.002879701373406609,0.39375,0.10490299648663522,341.31610611610614,1.8904818114589022,0.0,0.0,215.0,303.0,315.96,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.40_w2_cd1000,0.4,2,1000,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.875892,0.004164291056110243,0.334375,0.07440355281755703,1392.412324929972,2.443377759233718,0.7,0.7,639.0,885.4000000000003,1151.8,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.40_w2_cd200,0.4,2,200,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.877216,0.004684813763640975,0.5123161764705882,0.1598925943456717,344.6661432753943,2.1825203155464736,0.0,0.0,183.0,288.6,315.96,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.40_w2_cd500,0.4,2,500,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.875164,0.0067027218351949905,0.499375,0.17483809474768364,694.5949785670545,2.5240397246901596,0.2,0.2,303.0,559.0,597.8799999999999,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.40_w3_cd0,0.4,3,0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.871532,0.007956702834717376,0.39375,0.09335855778931035,337.68029324765945,1.673946882115581,0.0,0.0,247.0,319.0,357.87999999999994,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.40_w3_cd1000,0.4,3,1000,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.873128,0.008346024203176044,0.5046130952380953,0.21308710641408202,1375.9898412698412,3.2047077063583376,0.45,0.45,383.0,1163.8000000000002,1330.84,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.40_w3_cd200,0.4,3,200,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.876136,0.006152485676537576,0.38203125,0.17237144213152014,342.85699284917047,2.1781088304212806,0.0,0.0,167.0,303.0,315.96,,,,,,,,,,,,,,,
NEXT_STAGE_V6,O,sea_abrupt4,theta0.40_w3_cd500,0.4,3,500,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",5,0.876816,0.008067644017927434,0.4,0.1688657010763287,695.5461479991058,2.2229018851586875,0.35,0.35,335.0,594.2,674.8399999999999,,,,,,,,,,,,,,,
