base_dataset_name,cluster_size,corrected_dataset_counts_json,corrected_dataset_mode,dataset,dataset_mismatch_ratio,datasets_json,evidence_json,falsifiable_condition,group,groups_json,label_dataset,label_purity,log_path,log_paths_preview_json,match_dataset,match_group_weak,match_seed,missing_ref_log_paths_preview_json,missing_ref_run_ids_preview_json,missing_summary_ratio,n_dataset_mismatch,n_datasets,n_groups,n_log_paths,n_missing_summary,n_rows,n_rows_with_run_index_json,n_run_ids,n_run_index_json_parse_ok,n_runs_in_run_index_json,n_runs_with_summary,n_seed_mismatch,n_seeds,n_unique_ref_log_paths,n_unique_ref_run_ids,note,phase,ref_log_paths_traceable_in_RUN_INDEX,ref_log_paths_traceable_ratio,ref_run_ids_traceable_in_RUN_INDEX,ref_run_ids_traceable_ratio,root_cause,run_id,run_ids_preview_json,seed,seed_mismatch_ratio,seeds_json,source_table,summary_confirm_rule_effective,summary_created_at,summary_dataset_name,summary_dataset_type,summary_monitor_preset,summary_path,summary_read_error,summary_seed,table_name,track,tw_has_confirm_cooldown_key,tw_has_confirm_rule_key,tw_has_perm_key,tw_type
,5,,,,,"[""sea_abrupt4""]",,,,"[""A_weighted_n5""]",,,,"[""logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed1.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed2.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed3/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed3.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed4/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed4.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed5/20260111-183656-wsn_A_weighted_n5/sea_abrupt4__ts_drift_adapt__seed5.csv""]",,,,,,,,1,1,5,,,,,,,,,5,,,,,,,,,,20260111-183656-wsn_A_weighted_n5__sea_abrupt4,,,,"[""1"", ""2"", ""3"", ""4"", ""5""]",,,,,,,,,,RUN_INDEX_DUP_BY_RUN_ID,,,,,
,5,,,,,"[""sea_nodrift""]",,,,"[""A_weighted_n5""]",,,,"[""logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed1/20260111-183656-wsn_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed1.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed2/20260111-183656-wsn_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed2.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed3/20260111-183656-wsn_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed3.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed4/20260111-183656-wsn_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed4.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed5/20260111-183656-wsn_A_weighted_n5/sea_nodrift__ts_drift_adapt__seed5.csv""]",,,,,,,,1,1,5,,,,,,,,,5,,,,,,,,,,20260111-183656-wsn_A_weighted_n5__sea_nodrift,,,,"[""1"", ""2"", ""3"", ""4"", ""5""]",,,,,,,,,,RUN_INDEX_DUP_BY_RUN_ID,,,,,
,5,,,,,"[""sine_abrupt4""]",,,,"[""A_weighted_n5""]",,,,"[""logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed1.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed2/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed2.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed3/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed3.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed4/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed4.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed5/20260111-183656-wsn_A_weighted_n5/sine_abrupt4__ts_drift_adapt__seed5.csv""]",,,,,,,,1,1,5,,,,,,,,,5,,,,,,,,,,20260111-183656-wsn_A_weighted_n5__sine_abrupt4,,,,"[""1"", ""2"", ""3"", ""4"", ""5""]",,,,,,,,,,RUN_INDEX_DUP_BY_RUN_ID,,,,,
,5,,,,,"[""sine_nodrift""]",,,,"[""A_weighted_n5""]",,,,"[""logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed1/20260111-183656-wsn_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed1.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed2/20260111-183656-wsn_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed2.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed3/20260111-183656-wsn_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed3.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed4/20260111-183656-wsn_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed4.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed5/20260111-183656-wsn_A_weighted_n5/sine_nodrift__ts_drift_adapt__seed5.csv""]",,,,,,,,1,1,5,,,,,,,,,5,,,,,,,,,,20260111-183656-wsn_A_weighted_n5__sine_nodrift,,,,"[""1"", ""2"", ""3"", ""4"", ""5""]",,,,,,,,,,RUN_INDEX_DUP_BY_RUN_ID,,,,,
,5,,,,,"[""sea_abrupt4""]",,,,"[""P_perm_fused_score_a0.05_pre200_post30_n5""]",,,,"[""logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_abrupt4__ts_drift_adapt__seed1.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_abrupt4__ts_drift_adapt__seed2.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed3/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_abrupt4__ts_drift_adapt__seed3.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed4/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_abrupt4__ts_drift_adapt__seed4.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed5/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_abrupt4__ts_drift_adapt__seed5.csv""]",,,,,,,,1,1,5,,,,,,,,,5,,,,,,,,,,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sea_abrupt4,,,,"[""1"", ""2"", ""3"", ""4"", ""5""]",,,,,,,,,,RUN_INDEX_DUP_BY_RUN_ID,,,,,
,5,,,,,"[""sea_nodrift""]",,,,"[""P_perm_fused_score_a0.05_pre200_post30_n5""]",,,,"[""logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed1/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed1.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed2/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed2.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed3/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed3.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed4/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed4.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed5/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sea_nodrift__ts_drift_adapt__seed5.csv""]",,,,,,,,1,1,5,,,,,,,,,5,,,,,,,,,,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sea_nodrift,,,,"[""1"", ""2"", ""3"", ""4"", ""5""]",,,,,,,,,,RUN_INDEX_DUP_BY_RUN_ID,,,,,
,5,,,,,"[""sine_abrupt4""]",,,,"[""P_perm_fused_score_a0.05_pre200_post30_n5""]",,,,"[""logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed1/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_abrupt4__ts_drift_adapt__seed1.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed2/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_abrupt4__ts_drift_adapt__seed2.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed3/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_abrupt4__ts_drift_adapt__seed3.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed4/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_abrupt4__ts_drift_adapt__seed4.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_abrupt4/ts_drift_adapt/seed5/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_abrupt4__ts_drift_adapt__seed5.csv""]",,,,,,,,1,1,5,,,,,,,,,5,,,,,,,,,,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sine_abrupt4,,,,"[""1"", ""2"", ""3"", ""4"", ""5""]",,,,,,,,,,RUN_INDEX_DUP_BY_RUN_ID,,,,,
,5,,,,,"[""sine_nodrift""]",,,,"[""P_perm_fused_score_a0.05_pre200_post30_n5""]",,,,"[""logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed1/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_nodrift__ts_drift_adapt__seed1.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed2/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_nodrift__ts_drift_adapt__seed2.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed3/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_nodrift__ts_drift_adapt__seed3.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed4/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_nodrift__ts_drift_adapt__seed4.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sine_nodrift/ts_drift_adapt/seed5/20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5/sine_nodrift__ts_drift_adapt__seed5.csv""]",,,,,,,,1,1,5,,,,,,,,,5,,,,,,,,,,20260111-183855-btf_P_perm_fused_score_a0.05_pre200_post30_n5__sine_nodrift,,,,"[""1"", ""2"", ""3"", ""4"", ""5""]",,,,,,,,,,RUN_INDEX_DUP_BY_RUN_ID,,,,,
,5,,,,,"[""sea_abrupt4""]",,,,"[""P_perm_fused_score_a0.05_pre200_post50_n5""]",,,,"[""logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed1.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed2.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed3/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed3.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed4/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed4.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed5/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_abrupt4__ts_drift_adapt__seed5.csv""]",,,,,,,,1,1,5,,,,,,,,,5,,,,,,,,,,20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5__sea_abrupt4,,,,"[""1"", ""2"", ""3"", ""4"", ""5""]",,,,,,,,,,RUN_INDEX_DUP_BY_RUN_ID,,,,,
,5,,,,,"[""sea_nodrift""]",,,,"[""P_perm_fused_score_a0.05_pre200_post50_n5""]",,,,"[""logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed1/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_nodrift__ts_drift_adapt__seed1.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed2/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_nodrift__ts_drift_adapt__seed2.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed3/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_nodrift__ts_drift_adapt__seed3.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed4/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_nodrift__ts_drift_adapt__seed4.csv"", ""logs_v14fix1/trackAL_perm_confirm_sweep/sea_nodrift/ts_drift_adapt/seed5/20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5/sea_nodrift__ts_drift_adapt__seed5.csv""]",,,,,,,,1,1,5,,,,,,,,,5,,,,,,,,,,20260111-184107-h4n_P_perm_fused_score_a0.05_pre200_post50_n5__sea_nodrift,,,,"[""1"", ""2"", ""3"", ""4"", ""5""]",,,,,,,,,,RUN_INDEX_DUP_BY_RUN_ID,,,,,
