track,dataset,base_dataset_name,dataset_kind,unit,seed,run_id,experiment_name,log_path,monitor_preset,error.threshold,error.min_instances,trigger_mode,confirm_theta,confirm_window,confirm_cooldown,horizon,acc_final,acc_min@2000,miss_tol500,conf_P90,MTFA_win,stream_kwargs,confirm_rate_per_10k,confirmed_count_total
AE,sea_gradual_frequent,sea_abrupt4,drift,sample_idx,1,20260109-232744-zfv_thr0.05_mi5,trackAE_ph_calibration_with_nodrift,logs/trackAE_ph_calibration_with_nodrift/sea_abrupt4/ts_drift_adapt/seed1/20260109-232744-zfv_thr0.05_mi5/sea_abrupt4__ts_drift_adapt__seed1.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,two_stage,0.5,1,200,50000,0.87708,0.7353515625,0.0,183.0,339.7260273972603,"{""drift_type"": ""gradual"", ""transition_length"": 2000}",,
AE,sea_gradual_frequent,sea_abrupt4,drift,sample_idx,2,20260109-232744-zfv_thr0.05_mi5,trackAE_ph_calibration_with_nodrift,logs/trackAE_ph_calibration_with_nodrift/sea_abrupt4/ts_drift_adapt/seed2/20260109-232744-zfv_thr0.05_mi5/sea_abrupt4__ts_drift_adapt__seed2.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,two_stage,0.5,1,200,50000,0.87616,0.71240234375,0.0,293.4,339.4206896551724,"{""drift_type"": ""gradual"", ""transition_length"": 2000}",,
AE,sea_gradual_frequent,sea_abrupt4,drift,sample_idx,3,20260109-232744-zfv_thr0.05_mi5,trackAE_ph_calibration_with_nodrift,logs/trackAE_ph_calibration_with_nodrift/sea_abrupt4/ts_drift_adapt/seed3/20260109-232744-zfv_thr0.05_mi5/sea_abrupt4__ts_drift_adapt__seed3.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,two_stage,0.5,1,200,50000,0.86614,0.7367424242424242,0.0,106.2,341.6275862068965,"{""drift_type"": ""gradual"", ""transition_length"": 2000}",,
AE,sea_gradual_frequent,sea_abrupt4,drift,sample_idx,4,20260109-232744-zfv_thr0.05_mi5,trackAE_ph_calibration_with_nodrift,logs/trackAE_ph_calibration_with_nodrift/sea_abrupt4/ts_drift_adapt/seed4/20260109-232744-zfv_thr0.05_mi5/sea_abrupt4__ts_drift_adapt__seed4.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,two_stage,0.5,1,200,50000,0.883,0.75537109375,0.0,226.20000000000005,339.28767123287673,"{""drift_type"": ""gradual"", ""transition_length"": 2000}",,
AE,sea_gradual_frequent,sea_abrupt4,drift,sample_idx,5,20260109-232744-zfv_thr0.05_mi5,trackAE_ph_calibration_with_nodrift,logs/trackAE_ph_calibration_with_nodrift/sea_abrupt4/ts_drift_adapt/seed5/20260109-232744-zfv_thr0.05_mi5/sea_abrupt4__ts_drift_adapt__seed5.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,two_stage,0.5,1,200,50000,0.86424,0.7255859375,0.0,224.60000000000002,336.9795918367347,"{""drift_type"": ""gradual"", ""transition_length"": 2000}",,
AE,sine_gradual_frequent,sine_abrupt4,drift,sample_idx,1,20260109-232744-zfv_thr0.05_mi5,trackAE_ph_calibration_with_nodrift,logs/trackAE_ph_calibration_with_nodrift/sine_abrupt4/ts_drift_adapt/seed1/20260109-232744-zfv_thr0.05_mi5/sine_abrupt4__ts_drift_adapt__seed1.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,two_stage,0.5,1,200,50000,0.65514,0.6311439179632249,0.0,165.4,336.9795918367347,"{""drift_type"": ""gradual"", ""transition_length"": 2000}",,
AE,sine_gradual_frequent,sine_abrupt4,drift,sample_idx,2,20260109-232744-zfv_thr0.05_mi5,trackAE_ph_calibration_with_nodrift,logs/trackAE_ph_calibration_with_nodrift/sine_abrupt4/ts_drift_adapt/seed2/20260109-232744-zfv_thr0.05_mi5/sine_abrupt4__ts_drift_adapt__seed2.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,two_stage,0.5,1,200,50000,0.64348,0.6257492947813822,0.0,128.6,341.1862068965517,"{""drift_type"": ""gradual"", ""transition_length"": 2000}",,
AE,sine_gradual_frequent,sine_abrupt4,drift,sample_idx,3,20260109-232744-zfv_thr0.05_mi5,trackAE_ph_calibration_with_nodrift,logs/trackAE_ph_calibration_with_nodrift/sine_abrupt4/ts_drift_adapt/seed3/20260109-232744-zfv_thr0.05_mi5/sine_abrupt4__ts_drift_adapt__seed3.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,two_stage,0.5,1,200,50000,0.6152,0.5986037234042553,0.0,304.6,337.4149659863946,"{""drift_type"": ""gradual"", ""transition_length"": 2000}",,
AE,sine_gradual_frequent,sine_abrupt4,drift,sample_idx,4,20260109-232744-zfv_thr0.05_mi5,trackAE_ph_calibration_with_nodrift,logs/trackAE_ph_calibration_with_nodrift/sine_abrupt4/ts_drift_adapt/seed4/20260109-232744-zfv_thr0.05_mi5/sine_abrupt4__ts_drift_adapt__seed4.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,two_stage,0.5,1,200,50000,0.63906,0.6137066831683168,0.0,275.80000000000007,349.9574468085106,"{""drift_type"": ""gradual"", ""transition_length"": 2000}",,
AE,sine_gradual_frequent,sine_abrupt4,drift,sample_idx,5,20260109-232744-zfv_thr0.05_mi5,trackAE_ph_calibration_with_nodrift,logs/trackAE_ph_calibration_with_nodrift/sine_abrupt4/ts_drift_adapt/seed5/20260109-232744-zfv_thr0.05_mi5/sine_abrupt4__ts_drift_adapt__seed5.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,two_stage,0.5,1,200,50000,0.66432,0.6350674198250729,0.0,298.2,343.55555555555554,"{""drift_type"": ""gradual"", ""transition_length"": 2000}",,
AE,sea_nodrift,sea_abrupt4,nodrift,sample_idx,1,20260109-232744-zfv_thr0.05_mi5,trackAE_ph_calibration_with_nodrift,logs/trackAE_ph_calibration_with_nodrift/sea_abrupt4/ts_drift_adapt/seed1/20260109-232744-zfv_thr0.05_mi5/sea_abrupt4__ts_drift_adapt__seed1.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,two_stage,0.5,1,200,50000,0.87708,,,,330.6666666666667,"{""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}",30.2,151
AE,sea_nodrift,sea_abrupt4,nodrift,sample_idx,2,20260109-232744-zfv_thr0.05_mi5,trackAE_ph_calibration_with_nodrift,logs/trackAE_ph_calibration_with_nodrift/sea_abrupt4/ts_drift_adapt/seed2/20260109-232744-zfv_thr0.05_mi5/sea_abrupt4__ts_drift_adapt__seed2.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,two_stage,0.5,1,200,50000,0.87616,,,,330.30872483221475,"{""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}",30.0,150
AE,sea_nodrift,sea_abrupt4,nodrift,sample_idx,3,20260109-232744-zfv_thr0.05_mi5,trackAE_ph_calibration_with_nodrift,logs/trackAE_ph_calibration_with_nodrift/sea_abrupt4/ts_drift_adapt/seed3/20260109-232744-zfv_thr0.05_mi5/sea_abrupt4__ts_drift_adapt__seed3.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,two_stage,0.5,1,200,50000,0.86614,,,,332.4563758389262,"{""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}",30.0,150
AE,sea_nodrift,sea_abrupt4,nodrift,sample_idx,4,20260109-232744-zfv_thr0.05_mi5,trackAE_ph_calibration_with_nodrift,logs/trackAE_ph_calibration_with_nodrift/sea_abrupt4/ts_drift_adapt/seed4/20260109-232744-zfv_thr0.05_mi5/sea_abrupt4__ts_drift_adapt__seed4.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,two_stage,0.5,1,200,50000,0.883,,,,330.24,"{""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}",30.2,151
AE,sea_nodrift,sea_abrupt4,nodrift,sample_idx,5,20260109-232744-zfv_thr0.05_mi5,trackAE_ph_calibration_with_nodrift,logs/trackAE_ph_calibration_with_nodrift/sea_abrupt4/ts_drift_adapt/seed5/20260109-232744-zfv_thr0.05_mi5/sea_abrupt4__ts_drift_adapt__seed5.csv,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",0.05,5,two_stage,0.5,1,200,50000,0.86424,,,,328.05298013245033,"{""concept_ids"": [0], ""concept_length"": 50000, ""drift_type"": ""abrupt""}",30.4,152
