track,dataset,base_dataset_name,dataset_type,unit,seed,experiment_name,run_id,group,monitor_preset,trigger_mode,confirm_theta,confirm_window,confirm_cooldown,log_path,horizon,n_drifts,acc_final,acc_min_raw,acc_min@2000,miss_tol500,MDR_tol500,cand_P50,cand_P90,cand_P99,conf_P50,conf_P90,conf_P99,MTFA_win
AA,sea_gradual_frequent,sea_abrupt4,sea,sample_idx,1,trackAA_generalization_nonabrupt,20260109-014502-v6s_sea_gradual_frequent_A_or_defaultPH_cd0,A_or_defaultPH,error_divergence_ph_meta,or,0.5,1,0,logs/trackAA_generalization_nonabrupt/sea_abrupt4/ts_drift_adapt/seed1/20260109-014502-v6s_sea_gradual_frequent_A_or_defaultPH_cd0/sea_abrupt4__ts_drift_adapt__seed1.csv,50000,4,0.872,0.546875,0.74072265625,1.0,1.0,759.0,1117.4,1190.84,759.0,1117.4,1190.84,1909.76
AA,sea_gradual_frequent,sea_abrupt4,sea,sample_idx,2,trackAA_generalization_nonabrupt,20260109-014502-v6s_sea_gradual_frequent_A_or_defaultPH_cd0,A_or_defaultPH,error_divergence_ph_meta,or,0.5,1,0,logs/trackAA_generalization_nonabrupt/sea_abrupt4/ts_drift_adapt/seed2/20260109-014502-v6s_sea_gradual_frequent_A_or_defaultPH_cd0/sea_abrupt4__ts_drift_adapt__seed2.csv,50000,4,0.87526,0.671875,0.7419507575757576,0.75,0.75,911.0,1146.2,1193.72,911.0,1146.2,1193.72,1787.076923076923
AA,sea_gradual_frequent,sea_abrupt4,sea,sample_idx,3,trackAA_generalization_nonabrupt,20260109-014502-v6s_sea_gradual_frequent_A_or_defaultPH_cd0,A_or_defaultPH,error_divergence_ph_meta,or,0.5,1,0,logs/trackAA_generalization_nonabrupt/sea_abrupt4/ts_drift_adapt/seed3/20260109-014502-v6s_sea_gradual_frequent_A_or_defaultPH_cd0/sea_abrupt4__ts_drift_adapt__seed3.csv,50000,4,0.86482,0.296875,0.7514204545454546,1.0,1.0,1007.0,1184.6,1197.56,1007.0,1184.6,1197.56,1792.5925925925926
AA,sea_gradual_frequent,sea_abrupt4,sea,sample_idx,4,trackAA_generalization_nonabrupt,20260109-014502-v6s_sea_gradual_frequent_A_or_defaultPH_cd0,A_or_defaultPH,error_divergence_ph_meta,or,0.5,1,0,logs/trackAA_generalization_nonabrupt/sea_abrupt4/ts_drift_adapt/seed4/20260109-014502-v6s_sea_gradual_frequent_A_or_defaultPH_cd0/sea_abrupt4__ts_drift_adapt__seed4.csv,50000,4,0.86728,0.3359375,0.7333984375,0.75,0.75,999.0,1568.6000000000001,1711.1599999999999,999.0,1568.6000000000001,1711.1599999999999,1787.2592592592594
AA,sea_gradual_frequent,sea_abrupt4,sea,sample_idx,5,trackAA_generalization_nonabrupt,20260109-014502-v6s_sea_gradual_frequent_A_or_defaultPH_cd0,A_or_defaultPH,error_divergence_ph_meta,or,0.5,1,0,logs/trackAA_generalization_nonabrupt/sea_abrupt4/ts_drift_adapt/seed5/20260109-014502-v6s_sea_gradual_frequent_A_or_defaultPH_cd0/sea_abrupt4__ts_drift_adapt__seed5.csv,50000,4,0.88364,0.453125,0.76875,0.5,0.5,663.0,1098.2,1188.92,663.0,1098.2,1188.92,1941.3333333333333
AA,sea_gradual_frequent,sea_abrupt4,sea,sample_idx,1,trackAA_generalization_nonabrupt,20260109-014548-8fx_sea_gradual_frequent_B_or_tunedPH_cd0,B_or_tunedPH,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",or,0.5,1,0,logs/trackAA_generalization_nonabrupt/sea_abrupt4/ts_drift_adapt/seed1/20260109-014548-8fx_sea_gradual_frequent_B_or_tunedPH_cd0/sea_abrupt4__ts_drift_adapt__seed1.csv,50000,4,0.8844,0.40625,0.728515625,0.0,0.0,103.0,250.20000000000005,297.71999999999997,103.0,250.20000000000005,297.71999999999997,339.28767123287673
AA,sea_gradual_frequent,sea_abrupt4,sea,sample_idx,2,trackAA_generalization_nonabrupt,20260109-014548-8fx_sea_gradual_frequent_B_or_tunedPH_cd0,B_or_tunedPH,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",or,0.5,1,0,logs/trackAA_generalization_nonabrupt/sea_abrupt4/ts_drift_adapt/seed2/20260109-014548-8fx_sea_gradual_frequent_B_or_tunedPH_cd0/sea_abrupt4__ts_drift_adapt__seed2.csv,50000,4,0.88254,0.2578125,0.70263671875,0.0,0.0,207.0,266.2,270.52000000000004,207.0,266.2,270.52000000000004,333.93197278911566
AA,sea_gradual_frequent,sea_abrupt4,sea,sample_idx,3,trackAA_generalization_nonabrupt,20260109-014548-8fx_sea_gradual_frequent_B_or_tunedPH_cd0,B_or_tunedPH,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",or,0.5,1,0,logs/trackAA_generalization_nonabrupt/sea_abrupt4/ts_drift_adapt/seed3/20260109-014548-8fx_sea_gradual_frequent_B_or_tunedPH_cd0/sea_abrupt4__ts_drift_adapt__seed3.csv,50000,4,0.87976,0.578125,0.728219696969697,0.0,0.0,103.0,154.2,158.52,103.0,154.2,158.52,347.3006993006993
AA,sea_gradual_frequent,sea_abrupt4,sea,sample_idx,4,trackAA_generalization_nonabrupt,20260109-014548-8fx_sea_gradual_frequent_B_or_tunedPH_cd0,B_or_tunedPH,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",or,0.5,1,0,logs/trackAA_generalization_nonabrupt/sea_abrupt4/ts_drift_adapt/seed4/20260109-014548-8fx_sea_gradual_frequent_B_or_tunedPH_cd0/sea_abrupt4__ts_drift_adapt__seed4.csv,50000,4,0.87368,0.59375,0.7724609375,0.0,0.0,159.0,285.40000000000003,315.63999999999993,159.0,285.40000000000003,315.63999999999993,332.4563758389262
AA,sea_gradual_frequent,sea_abrupt4,sea,sample_idx,5,trackAA_generalization_nonabrupt,20260109-014548-8fx_sea_gradual_frequent_B_or_tunedPH_cd0,B_or_tunedPH,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",or,0.5,1,0,logs/trackAA_generalization_nonabrupt/sea_abrupt4/ts_drift_adapt/seed5/20260109-014548-8fx_sea_gradual_frequent_B_or_tunedPH_cd0/sea_abrupt4__ts_drift_adapt__seed5.csv,50000,4,0.87776,0.6484375,0.75927734375,0.0,0.0,183.0,279.0,300.59999999999997,183.0,279.0,300.59999999999997,334.7027027027027
