track,dataset,unit,seed,experiment_name,run_id,detector_mode,error_threshold,error_min_instances,recovery_mode,use_severity_v2,severity_gate,severity_gate_min_streak,monitor_preset,trigger_mode,confirm_theta,confirm_window,confirm_cooldown,weights,log_path,horizon,acc_final,acc_min_raw,acc_min@2000,post_mean@W1000,post_min@W1000,recovery_time_to_pre90,confirmed_count,confirm_rate_per_10k,picked_gate_m,picked_note
Y,INSECTS_abrupt_balanced,sample_idx,1,trackY_detector_gating_interaction,20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200,clean,0.05,5,v2,1,none,1,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackY_detector_gating_interaction/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed1/20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed1.csv,52847,0.20576380873086458,0.15234375,0.1604959239130435,0.1932488026184417,0.19232939634166685,178.4,39,7.379794501106969,1,picked from TrackX: best_group=v2_gate_m1 (acc_tol=0.01)
Y,INSECTS_abrupt_balanced,sample_idx,2,trackY_detector_gating_interaction,20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200,clean,0.05,5,v2,1,none,1,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackY_detector_gating_interaction/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed2/20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed2.csv,52847,0.19431566597914735,0.11328125,0.16947544642857143,0.1930734902773422,0.19237988631870057,178.4,38,7.190569001078585,1,picked from TrackX: best_group=v2_gate_m1 (acc_tol=0.01)
Y,INSECTS_abrupt_balanced,sample_idx,3,trackY_detector_gating_interaction,20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200,clean,0.05,5,v2,1,none,1,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackY_detector_gating_interaction/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed3/20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed3.csv,52847,0.19834616912975192,0.125,0.15585371376811594,0.18503983435728663,0.18421205242557506,178.4,38,7.190569001078585,1,picked from TrackX: best_group=v2_gate_m1 (acc_tol=0.01)
Y,INSECTS_abrupt_balanced,sample_idx,4,trackY_detector_gating_interaction,20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200,clean,0.05,5,v2,1,none,1,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackY_detector_gating_interaction/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed4/20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed4.csv,52847,0.18858213332828733,0.140625,0.16713169642857142,0.18679699243060402,0.18585442731547042,178.4,38,7.190569001078585,1,picked from TrackX: best_group=v2_gate_m1 (acc_tol=0.01)
Y,INSECTS_abrupt_balanced,sample_idx,5,trackY_detector_gating_interaction,20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200,clean,0.05,5,v2,1,none,1,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackY_detector_gating_interaction/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed5/20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed5.csv,52847,0.20048441728007266,0.1640625,0.1696105072463768,0.18822287645216826,0.18738916506459816,178.4,40,7.569020001135353,1,picked from TrackX: best_group=v2_gate_m1 (acc_tol=0.01)
Y,INSECTS_abrupt_balanced,sample_idx,6,trackY_detector_gating_interaction,20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200,clean,0.05,5,v2,1,none,1,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackY_detector_gating_interaction/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed6/20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed6.csv,52847,0.20998353738149753,0.06640625,0.1689174107142857,0.20184455972272528,0.20093788290359083,178.4,38,7.190569001078585,1,picked from TrackX: best_group=v2_gate_m1 (acc_tol=0.01)
Y,INSECTS_abrupt_balanced,sample_idx,7,trackY_detector_gating_interaction,20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200,clean,0.05,5,v2,1,none,1,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackY_detector_gating_interaction/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed7/20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed7.csv,52847,0.20659640093098947,0.13671875,0.16519474637681159,0.19774948116506372,0.19683625403367527,178.4,39,7.379794501106969,1,picked from TrackX: best_group=v2_gate_m1 (acc_tol=0.01)
Y,INSECTS_abrupt_balanced,sample_idx,8,trackY_detector_gating_interaction,20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200,clean,0.05,5,v2,1,none,1,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackY_detector_gating_interaction/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed8/20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed8.csv,52847,0.20892387458133857,0.15234375,0.1657042572463768,0.1985397507941906,0.19765388559283048,178.4,40,7.569020001135353,1,picked from TrackX: best_group=v2_gate_m1 (acc_tol=0.01)
Y,INSECTS_abrupt_balanced,sample_idx,9,trackY_detector_gating_interaction,20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200,clean,0.05,5,v2,1,none,1,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackY_detector_gating_interaction/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed9/20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed9.csv,52847,0.18884704902832705,0.13671875,0.15502232142857142,0.17588071192414992,0.17537584845627982,178.4,38,7.190569001078585,1,picked from TrackX: best_group=v2_gate_m1 (acc_tol=0.01)
Y,INSECTS_abrupt_balanced,sample_idx,10,trackY_detector_gating_interaction,20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200,clean,0.05,5,v2,1,none,1,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackY_detector_gating_interaction/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed10/20260109-003424-c1x_clean_v2_thr0.050_m1_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed10.csv,52847,0.208053437281208,0.1640625,0.1660439311594203,0.19687626660486396,0.1960856425431442,178.4,39,7.379794501106969,1,picked from TrackX: best_group=v2_gate_m1 (acc_tol=0.01)
