track,unit,dataset,seed,experiment_name,run_id,config_tag,model_variant,monitor_preset,monitor_preset_base,trigger_mode,confirm_theta,confirm_window,confirm_cooldown,weights,log_path,acc_final,mean_acc,acc_min,MDR_win,MTD_win,MTFA_win,MTR_win,MDR_tol500,MTD_tol500,MTFA_tol500,MTR_tol500,confirmed_count_total,ph_error_threshold,ph_error_min_instances,ph_divergence_threshold,ph_divergence_min_instances,drift_idx,drift_pos,segment_end,first_confirmed_step,delay_confirmed,miss_tol500
O,sample_idx,sea_abrupt4,1,trackO_confirm_sweep,20260108-101835-7gq_theta0.30_w1_cd0,theta0.30_w1_cd0,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.3,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackO_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260108-101835-7gq_theta0.30_w1_cd0/sea_abrupt4__ts_drift_adapt__seed1.csv,0.88514,0.8407812278695344,0.65625,0.0,199.0,337.8503401360544,1.6977404026937406,0.0,199.0,337.8503401360544,1.6977404026937406,152,0.05,5,0.05,30,0,10000,20000,10239,239,0
O,sample_idx,sea_abrupt4,1,trackO_confirm_sweep,20260108-101835-7gq_theta0.30_w1_cd0,theta0.30_w1_cd0,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.3,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackO_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260108-101835-7gq_theta0.30_w1_cd0/sea_abrupt4__ts_drift_adapt__seed1.csv,0.88514,0.8407812278695344,0.65625,0.0,199.0,337.8503401360544,1.6977404026937406,0.0,199.0,337.8503401360544,1.6977404026937406,152,0.05,5,0.05,30,1,20000,30000,20159,159,0
O,sample_idx,sea_abrupt4,1,trackO_confirm_sweep,20260108-101835-7gq_theta0.30_w1_cd0,theta0.30_w1_cd0,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.3,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackO_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260108-101835-7gq_theta0.30_w1_cd0/sea_abrupt4__ts_drift_adapt__seed1.csv,0.88514,0.8407812278695344,0.65625,0.0,199.0,337.8503401360544,1.6977404026937406,0.0,199.0,337.8503401360544,1.6977404026937406,152,0.05,5,0.05,30,2,30000,40000,30271,271,0
O,sample_idx,sea_abrupt4,1,trackO_confirm_sweep,20260108-101835-7gq_theta0.30_w1_cd0,theta0.30_w1_cd0,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.3,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackO_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260108-101835-7gq_theta0.30_w1_cd0/sea_abrupt4__ts_drift_adapt__seed1.csv,0.88514,0.8407812278695344,0.65625,0.0,199.0,337.8503401360544,1.6977404026937406,0.0,199.0,337.8503401360544,1.6977404026937406,152,0.05,5,0.05,30,3,40000,50000,40127,127,0
O,sample_idx,sea_abrupt4,2,trackO_confirm_sweep,20260108-101835-7gq_theta0.30_w1_cd0,theta0.30_w1_cd0,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.3,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackO_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260108-101835-7gq_theta0.30_w1_cd0/sea_abrupt4__ts_drift_adapt__seed2.csv,0.87184,0.8183466158948655,0.3125,0.0,87.0,336.9795918367347,3.8733286418015482,0.0,87.0,339.28767123287673,3.899858290033066,152,0.05,5,0.05,30,0,10000,20000,10111,111,0
O,sample_idx,sea_abrupt4,2,trackO_confirm_sweep,20260108-101835-7gq_theta0.30_w1_cd0,theta0.30_w1_cd0,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.3,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackO_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260108-101835-7gq_theta0.30_w1_cd0/sea_abrupt4__ts_drift_adapt__seed2.csv,0.87184,0.8183466158948655,0.3125,0.0,87.0,336.9795918367347,3.8733286418015482,0.0,87.0,339.28767123287673,3.899858290033066,152,0.05,5,0.05,30,1,20000,30000,20095,95,0
O,sample_idx,sea_abrupt4,2,trackO_confirm_sweep,20260108-101835-7gq_theta0.30_w1_cd0,theta0.30_w1_cd0,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.3,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackO_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260108-101835-7gq_theta0.30_w1_cd0/sea_abrupt4__ts_drift_adapt__seed2.csv,0.87184,0.8183466158948655,0.3125,0.0,87.0,336.9795918367347,3.8733286418015482,0.0,87.0,339.28767123287673,3.899858290033066,152,0.05,5,0.05,30,2,30000,40000,30015,15,0
O,sample_idx,sea_abrupt4,2,trackO_confirm_sweep,20260108-101835-7gq_theta0.30_w1_cd0,theta0.30_w1_cd0,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.3,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackO_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260108-101835-7gq_theta0.30_w1_cd0/sea_abrupt4__ts_drift_adapt__seed2.csv,0.87184,0.8183466158948655,0.3125,0.0,87.0,336.9795918367347,3.8733286418015482,0.0,87.0,339.28767123287673,3.899858290033066,152,0.05,5,0.05,30,3,40000,50000,40127,127,0
O,sample_idx,sea_abrupt4,3,trackO_confirm_sweep,20260108-101835-7gq_theta0.30_w1_cd0,theta0.30_w1_cd0,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.3,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackO_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed3/20260108-101835-7gq_theta0.30_w1_cd0/sea_abrupt4__ts_drift_adapt__seed3.csv,0.8743,0.820119794266253,0.328125,0.0,199.0,337.4149659863946,1.6955525928964552,0.0,199.0,339.7260273972603,1.7071659668204033,152,0.05,5,0.05,30,0,10000,20000,10047,47,0
O,sample_idx,sea_abrupt4,3,trackO_confirm_sweep,20260108-101835-7gq_theta0.30_w1_cd0,theta0.30_w1_cd0,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.3,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackO_confirm_sweep/sea_abrupt4/ts_drift_adapt/seed3/20260108-101835-7gq_theta0.30_w1_cd0/sea_abrupt4__ts_drift_adapt__seed3.csv,0.8743,0.820119794266253,0.328125,0.0,199.0,337.4149659863946,1.6955525928964552,0.0,199.0,339.7260273972603,1.7071659668204033,152,0.05,5,0.05,30,1,20000,30000,20287,287,0
