track,dataset,unit,seed,experiment_name,run_id,group,model_variant,monitor_preset,trigger_mode,confirm_theta,confirm_window,confirm_cooldown,weights,use_severity_v2,severity_gate,severity_gate_min_streak,log_path,horizon,acc_final,acc_min_raw,acc_min@2000,post_mean@W1000,post_min@W1000,recovery_time_to_pre90,confirmed_count_total,confirm_rate_per_10k
V,INSECTS_abrupt_balanced,sample_idx,1,trackV_insects_recovery,20260108-215951-dnd_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackV_insects_recovery/INSECTS_abrupt_balanced/ts_drift_adapt/seed1/20260108-215951-dnd_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed1.csv,52847,0.21408973073211346,0.16417572463768115,0.16417572463768115,0.19455922898294903,0.19374555527235104,178.4,40,7.569020001135353
V,INSECTS_abrupt_balanced,sample_idx,2,trackV_insects_recovery,20260108-215951-dnd_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackV_insects_recovery/INSECTS_abrupt_balanced/ts_drift_adapt/seed2/20260108-215951-dnd_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed2.csv,52847,0.1857626733778644,0.12890625,0.15636322463768115,0.17920106099235786,0.17837985630864325,178.4,39,7.379794501106969
V,INSECTS_abrupt_balanced,sample_idx,3,trackV_insects_recovery,20260108-215951-dnd_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackV_insects_recovery/INSECTS_abrupt_balanced/ts_drift_adapt/seed3/20260108-215951-dnd_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed3.csv,52847,0.20423108218063465,0.1572544642857143,0.1572544642857143,0.19121039729954933,0.19055377986411165,178.4,39,7.379794501106969
V,INSECTS_abrupt_balanced,sample_idx,4,trackV_insects_recovery,20260108-215951-dnd_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackV_insects_recovery/INSECTS_abrupt_balanced/ts_drift_adapt/seed4/20260108-215951-dnd_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed4.csv,52847,0.19126913542869037,0.16545758928571427,0.16545758928571427,0.1878184059335007,0.18715826638226246,178.4,39,7.379794501106969
V,INSECTS_abrupt_balanced,sample_idx,5,trackV_insects_recovery,20260108-215951-dnd_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackV_insects_recovery/INSECTS_abrupt_balanced/ts_drift_adapt/seed5/20260108-215951-dnd_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed5.csv,52847,0.20003027608000454,0.1484375,0.16638360507246377,0.19008308743686925,0.18928649707667752,178.4,40,7.569020001135353
V,INSECTS_abrupt_balanced,sample_idx,6,trackV_insects_recovery,20260108-215951-dnd_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackV_insects_recovery/INSECTS_abrupt_balanced/ts_drift_adapt/seed6/20260108-215951-dnd_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed6.csv,52847,0.2127840747819176,0.12109375,0.169140625,0.20043812774185332,0.19959025902695388,178.4,40,7.569020001135353
V,INSECTS_abrupt_balanced,sample_idx,7,trackV_insects_recovery,20260108-215951-dnd_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackV_insects_recovery/INSECTS_abrupt_balanced/ts_drift_adapt/seed7/20260108-215951-dnd_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed7.csv,52847,0.2005411849300812,0.17349330357142856,0.17349330357142856,0.192864958178533,0.1919410634195337,178.4,39,7.379794501106969
V,INSECTS_abrupt_balanced,sample_idx,8,trackV_insects_recovery,20260108-215951-dnd_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackV_insects_recovery/INSECTS_abrupt_balanced/ts_drift_adapt/seed8/20260108-215951-dnd_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed8.csv,52847,0.21227316593184098,0.05078125,0.16259765625,0.1985291804494538,0.1975637423422512,178.4,40,7.569020001135353
V,INSECTS_abrupt_balanced,sample_idx,9,trackV_insects_recovery,20260108-215951-dnd_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackV_insects_recovery/INSECTS_abrupt_balanced/ts_drift_adapt/seed9/20260108-215951-dnd_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed9.csv,52847,0.19287755217893163,0.13671875,0.15381567028985507,0.18128048100070498,0.18054982567273917,178.4,37,7.001343501050202
V,INSECTS_abrupt_balanced,sample_idx,10,trackV_insects_recovery,20260108-215951-dnd_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackV_insects_recovery/INSECTS_abrupt_balanced/ts_drift_adapt/seed10/20260108-215951-dnd_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed10.csv,52847,0.20496906163074535,0.14453125,0.17125226449275363,0.19804112448655328,0.1970869785958976,178.4,39,7.379794501106969
