track,unit,dataset,seed,experiment_name,run_id,group,model_variant,monitor_preset,monitor_preset_base,picked_from_trackm,picked_reason,trigger_mode,confirm_theta,confirm_window,weights,use_severity_v2,severity_gate,severity_gate_min_streak,ph_error_threshold,ph_error_min_instances,ph_divergence_threshold,ph_divergence_min_instances,log_path,acc_final,mean_acc,acc_min,recovery_W,post_mean_acc,post_min_acc,recovery_time_to_pre90,note
N,sample_idx,INSECTS_abrupt_balanced,1,trackN_gating_rule,20260108-013831-pow_v2_theta0.30_w1,v2,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed1/20260108-013831-pow_v2_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed1.csv,0.2142032660321305,0.20266631432818114,0.15891077898550723,1000,0.19437799845532192,0.1934480163631179,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,2,trackN_gating_rule,20260108-013831-pow_v2_theta0.30_w1,v2,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed2/20260108-013831-pow_v2_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed2.csv,0.18059681722708953,0.17782776275119577,0.1015625,1000,0.17494793694725078,0.17424778336378396,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,3,trackN_gating_rule,20260108-013831-pow_v2_theta0.30_w1,v2,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed3/20260108-013831-pow_v2_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed3.csv,0.20211175658031677,0.2010483931977668,0.17136548913043478,1000,0.19608528315384655,0.19547703471409145,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,4,trackN_gating_rule,20260108-013831-pow_v2_theta0.30_w1,v2,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed4/20260108-013831-pow_v2_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed4.csv,0.18165648002724846,0.18119444561957887,0.15636322463768115,1000,0.17690802355032587,0.1763451177744531,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,5,trackN_gating_rule,20260108-013831-pow_v2_theta0.30_w1,v2,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed5/20260108-013831-pow_v2_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed5.csv,0.19136374817870455,0.18822182757346245,0.16015625,1000,0.1774233247930687,0.17655545207202808,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,6,trackN_gating_rule,20260108-013831-pow_v2_theta0.30_w1,v2,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed6/20260108-013831-pow_v2_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed6.csv,0.2014873124302231,0.19799938213468699,0.1599298007246377,1000,0.19222503397683124,0.19135701794311435,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,7,trackN_gating_rule,20260108-013831-pow_v2_theta0.30_w1,v2,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed7/20260108-013831-pow_v2_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed7.csv,0.2107025942816054,0.2075748480107241,0.17532835144927536,1000,0.20219011687760483,0.2013220258983973,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,8,trackN_gating_rule,20260108-013831-pow_v2_theta0.30_w1,v2,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed8/20260108-013831-pow_v2_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed8.csv,0.20313357428047005,0.190983994187096,0.1484375,1000,0.18550307959190176,0.18449846090817923,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,9,trackN_gating_rule,20260108-013831-pow_v2_theta0.30_w1,v2,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed9/20260108-013831-pow_v2_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed9.csv,0.20843188828126477,0.20956622012946186,0.17779017857142856,1000,0.20247295695427783,0.20162388758674385,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
N,sample_idx,INSECTS_abrupt_balanced,10,trackN_gating_rule,20260108-013831-pow_v2_theta0.30_w1,v2,ts_drift_adapt_severity,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,1,"from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0",two_stage,0.3,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,none,1,0.05,5,0.05,30,logs/trackN_gating_rule/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed10/20260108-013831-pow_v2_theta0.30_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed10.csv,0.20534751263080211,0.19712112315977695,0.16089221014492755,1000,0.1924316510172296,0.19139262845143099,178.4,"picked TrackM preset: from TrackM(tag=two_stage_err(mi=5,thr=0.05)): acc_final_mean=0.8743, miss_mean=0.000, delay_p90=287.0"
