track,dataset,unit,seed,experiment_name,run_id,group,model_variant,monitor_preset,monitor_preset_base,trigger_mode,confirm_theta,confirm_window,confirm_cooldown,weights,use_severity_v2,severity_gate,severity_gate_min_streak,log_path,acc_final,acc_min,confirmed_count_total,miss_tol500,MDR_tol500,conf_P90,conf_P99,MTFA_win,note,recovery_W,post_mean@W1000,post_min@W1000,recovery_time_to_pre90
P,sea_abrupt4,sample_idx,1,trackP_gate_cooldown,20260108-110543-ey9_baseline_theta0.50_w1_cd0,baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackP_gate_cooldown/sea_abrupt4/ts_drift_adapt/seed1/20260108-110543-ey9_baseline_theta0.50_w1_cd0/sea_abrupt4__ts_drift_adapt__seed1.csv,0.8726,0.6822916666666666,149,0.0,0.0,234.2,238.51999999999998,341.77777777777777,picked TrackO: 规则：acc_final_mean≥best-0.01，先最小化 miss_tol500_mean（再看 conf_P90），再最大化 MTFA_win_mean，再最大化 acc_min_mean；best_acc=0.8794,,,,
P,sea_abrupt4,sample_idx,2,trackP_gate_cooldown,20260108-110543-ey9_baseline_theta0.50_w1_cd0,baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackP_gate_cooldown/sea_abrupt4/ts_drift_adapt/seed2/20260108-110543-ey9_baseline_theta0.50_w1_cd0/sea_abrupt4__ts_drift_adapt__seed2.csv,0.88514,0.7125,144,0.0,0.0,157.40000000000003,187.64,351.3093525179856,picked TrackO: 规则：acc_final_mean≥best-0.01，先最小化 miss_tol500_mean（再看 conf_P90），再最大化 MTFA_win_mean，再最大化 acc_min_mean；best_acc=0.8794,,,,
P,sea_abrupt4,sample_idx,3,trackP_gate_cooldown,20260108-110543-ey9_baseline_theta0.50_w1_cd0,baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackP_gate_cooldown/sea_abrupt4/ts_drift_adapt/seed3/20260108-110543-ey9_baseline_theta0.50_w1_cd0/sea_abrupt4__ts_drift_adapt__seed3.csv,0.872,0.6614583333333334,150,0.0,0.0,319.00000000000006,362.19999999999993,341.6275862068965,picked TrackO: 规则：acc_final_mean≥best-0.01，先最小化 miss_tol500_mean（再看 conf_P90），再最大化 MTFA_win_mean，再最大化 acc_min_mean；best_acc=0.8794,,,,
P,sea_abrupt4,sample_idx,4,trackP_gate_cooldown,20260108-110543-ey9_baseline_theta0.50_w1_cd0,baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackP_gate_cooldown/sea_abrupt4/ts_drift_adapt/seed4/20260108-110543-ey9_baseline_theta0.50_w1_cd0/sea_abrupt4__ts_drift_adapt__seed4.csv,0.88016,0.625,153,0.0,0.0,288.6,301.56,334.27027027027026,picked TrackO: 规则：acc_final_mean≥best-0.01，先最小化 miss_tol500_mean（再看 conf_P90），再最大化 MTFA_win_mean，再最大化 acc_min_mean；best_acc=0.8794,,,,
P,sea_abrupt4,sample_idx,5,trackP_gate_cooldown,20260108-110543-ey9_baseline_theta0.50_w1_cd0,baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackP_gate_cooldown/sea_abrupt4/ts_drift_adapt/seed5/20260108-110543-ey9_baseline_theta0.50_w1_cd0/sea_abrupt4__ts_drift_adapt__seed5.csv,0.8781,0.40625,152,0.0,0.0,258.20000000000005,284.12,337.9591836734694,picked TrackO: 规则：acc_final_mean≥best-0.01，先最小化 miss_tol500_mean（再看 conf_P90），再最大化 MTFA_win_mean，再最大化 acc_min_mean；best_acc=0.8794,,,,
P,INSECTS_abrupt_balanced,sample_idx,1,trackP_gate_cooldown,20260108-110543-ey9_baseline_theta0.50_w1_cd0,baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackP_gate_cooldown/INSECTS_abrupt_balanced/ts_drift_adapt/seed1/20260108-110543-ey9_baseline_theta0.50_w1_cd0/INSECTS_abrupt_balanced__ts_drift_adapt__seed1.csv,0.21308683558196304,0.11328125,40,,,,,,picked TrackO: 规则：acc_final_mean≥best-0.01，先最小化 miss_tol500_mean（再看 conf_P90），再最大化 MTFA_win_mean，再最大化 acc_min_mean；best_acc=0.8794,1000,0.2000228201321736,0.19915689453860366,178.4
P,INSECTS_abrupt_balanced,sample_idx,2,trackP_gate_cooldown,20260108-110543-ey9_baseline_theta0.50_w1_cd0,baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackP_gate_cooldown/INSECTS_abrupt_balanced/ts_drift_adapt/seed2/20260108-110543-ey9_baseline_theta0.50_w1_cd0/INSECTS_abrupt_balanced__ts_drift_adapt__seed2.csv,0.20194145363029123,0.12890625,39,,,,,,picked TrackO: 规则：acc_final_mean≥best-0.01，先最小化 miss_tol500_mean（再看 conf_P90），再最大化 MTFA_win_mean，再最大化 acc_min_mean；best_acc=0.8794,1000,0.1912375484531998,0.19076012897189465,178.4
P,INSECTS_abrupt_balanced,sample_idx,3,trackP_gate_cooldown,20260108-110543-ey9_baseline_theta0.50_w1_cd0,baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackP_gate_cooldown/INSECTS_abrupt_balanced/ts_drift_adapt/seed3/20260108-110543-ey9_baseline_theta0.50_w1_cd0/INSECTS_abrupt_balanced__ts_drift_adapt__seed3.csv,0.19149620602872444,0.16300223214285714,38,,,,,,picked TrackO: 规则：acc_final_mean≥best-0.01，先最小化 miss_tol500_mean（再看 conf_P90），再最大化 MTFA_win_mean，再最大化 acc_min_mean；best_acc=0.8794,1000,0.18480986477460512,0.18407538057571654,178.4
P,INSECTS_abrupt_balanced,sample_idx,4,trackP_gate_cooldown,20260108-110543-ey9_baseline_theta0.50_w1_cd0,baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackP_gate_cooldown/INSECTS_abrupt_balanced/ts_drift_adapt/seed4/20260108-110543-ey9_baseline_theta0.50_w1_cd0/INSECTS_abrupt_balanced__ts_drift_adapt__seed4.csv,0.19904630347985694,0.13671875,38,,,,,,picked TrackO: 规则：acc_final_mean≥best-0.01，先最小化 miss_tol500_mean（再看 conf_P90），再最大化 MTFA_win_mean，再最大化 acc_min_mean；best_acc=0.8794,1000,0.19480669093599945,0.1939890068936136,178.4
P,INSECTS_abrupt_balanced,sample_idx,5,trackP_gate_cooldown,20260108-110543-ey9_baseline_theta0.50_w1_cd0,baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",error_divergence_ph_meta,two_stage,0.5,1,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackP_gate_cooldown/INSECTS_abrupt_balanced/ts_drift_adapt/seed5/20260108-110543-ey9_baseline_theta0.50_w1_cd0/INSECTS_abrupt_balanced__ts_drift_adapt__seed5.csv,0.2060287244309043,0.09375,38,,,,,,picked TrackO: 规则：acc_final_mean≥best-0.01，先最小化 miss_tol500_mean（再看 conf_P90），再最大化 MTFA_win_mean，再最大化 acc_min_mean；best_acc=0.8794,1000,0.1923130903003351,0.19155284528317965,178.4
