track,dataset,unit,seed,experiment_name,run_id,group,monitor_preset,trigger_mode,confirm_theta,confirm_window,confirm_cooldown_base,adaptive_cooldown,adaptive_window,adaptive_lower_per10k,adaptive_upper_per10k,adaptive_cooldown_low,adaptive_cooldown_high,weights,log_path,horizon,acc_final,acc_min_raw,acc_min_warmup,confirmed_count_total,confirm_rate_per_10k,median_gap_between_confirms,p10_gap_between_confirms,miss_tol500,conf_P90,conf_P99,MTFA_win,model_variant,recovery_W,post_mean@W1000,post_min@W1000,recovery_time_to_pre90
S,sea_abrupt4,sample_idx,1,trackS_adaptive_cooldown,20260108-192256-ief_fixed_cd0_theta0.50_w1,fixed_cd0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,0,0,0,0.0,0.0,0,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackS_adaptive_cooldown/sea_abrupt4/ts_drift_adapt/seed1/20260108-192256-ief_fixed_cd0_theta0.50_w1/sea_abrupt4__ts_drift_adapt__seed1.csv,50000,0.87542,0.328125,0.73583984375,152,30.4,320.0,320.0,0.0,272.6,285.56,337.4149659863946,,,,,
S,sea_abrupt4,sample_idx,2,trackS_adaptive_cooldown,20260108-192256-ief_fixed_cd0_theta0.50_w1,fixed_cd0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,0,0,0,0.0,0.0,0,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackS_adaptive_cooldown/sea_abrupt4/ts_drift_adapt/seed2/20260108-192256-ief_fixed_cd0_theta0.50_w1/sea_abrupt4__ts_drift_adapt__seed2.csv,50000,0.87968,0.625,0.703125,147,29.4,320.0,320.0,0.0,271.00000000000006,314.19999999999993,349.85915492957747,,,,,
S,sea_abrupt4,sample_idx,3,trackS_adaptive_cooldown,20260108-192256-ief_fixed_cd0_theta0.50_w1,fixed_cd0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,0,0,0,0.0,0.0,0,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackS_adaptive_cooldown/sea_abrupt4/ts_drift_adapt/seed3/20260108-192256-ief_fixed_cd0_theta0.50_w1/sea_abrupt4__ts_drift_adapt__seed3.csv,50000,0.8792,0.6875,0.7817234848484849,150,30.0,320.0,320.0,0.0,263.0,284.59999999999997,342.5103448275862,,,,,
S,sea_abrupt4,sample_idx,4,trackS_adaptive_cooldown,20260108-192256-ief_fixed_cd0_theta0.50_w1,fixed_cd0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,0,0,0,0.0,0.0,0,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackS_adaptive_cooldown/sea_abrupt4/ts_drift_adapt/seed4/20260108-192256-ief_fixed_cd0_theta0.50_w1/sea_abrupt4__ts_drift_adapt__seed4.csv,50000,0.85774,0.40625,0.72607421875,155,31.0,320.0,320.0,0.0,279.0,300.59999999999997,330.6666666666667,,,,,
S,sea_abrupt4,sample_idx,5,trackS_adaptive_cooldown,20260108-192256-ief_fixed_cd0_theta0.50_w1,fixed_cd0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,0,0,0,0.0,0.0,0,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackS_adaptive_cooldown/sea_abrupt4/ts_drift_adapt/seed5/20260108-192256-ief_fixed_cd0_theta0.50_w1/sea_abrupt4__ts_drift_adapt__seed5.csv,50000,0.87282,0.5,0.7580357142857143,153,30.6,320.0,320.0,0.0,224.60000000000002,237.55999999999997,334.7027027027027,,,,,
S,INSECTS_abrupt_balanced,sample_idx,1,trackS_adaptive_cooldown,20260108-192256-ief_fixed_cd0_theta0.50_w1,fixed_cd0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,0,0,0,0.0,0.0,0,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackS_adaptive_cooldown/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed1/20260108-192256-ief_fixed_cd0_theta0.50_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed1.csv,52847,0.2113081158816962,0.125,0.16111865942028986,40,7.569020001135353,1280.0,1280.0,,,,,ts_drift_adapt_severity,1000,0.19455950302332042,0.1936893931010723,178.4
S,INSECTS_abrupt_balanced,sample_idx,2,trackS_adaptive_cooldown,20260108-192256-ief_fixed_cd0_theta0.50_w1,fixed_cd0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,0,0,0,0.0,0.0,0,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackS_adaptive_cooldown/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed2/20260108-192256-ief_fixed_cd0_theta0.50_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed2.csv,52847,0.1944859689291729,0.16255580357142857,0.16255580357142857,39,7.379794501106969,1280.0,1280.0,,,,,ts_drift_adapt_severity,1000,0.1869896405786279,0.185966543692636,178.4
S,INSECTS_abrupt_balanced,sample_idx,3,trackS_adaptive_cooldown,20260108-192256-ief_fixed_cd0_theta0.50_w1,fixed_cd0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,0,0,0,0.0,0.0,0,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackS_adaptive_cooldown/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed3/20260108-192256-ief_fixed_cd0_theta0.50_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed3.csv,52847,0.20678562643101783,0.16796875,0.176953125,40,7.569020001135353,1280.0,1280.0,,,,,ts_drift_adapt_severity,1000,0.19441749584477966,0.19390231117138101,178.4
S,INSECTS_abrupt_balanced,sample_idx,4,trackS_adaptive_cooldown,20260108-192256-ief_fixed_cd0_theta0.50_w1,fixed_cd0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,0,0,0,0.0,0.0,0,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackS_adaptive_cooldown/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed4/20260108-192256-ief_fixed_cd0_theta0.50_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed4.csv,52847,0.19130698052869605,0.13671875,0.15892857142857142,39,7.379794501106969,1280.0,1280.0,,,,,ts_drift_adapt_severity,1000,0.1835597591486769,0.18265983781558498,178.4
S,INSECTS_abrupt_balanced,sample_idx,5,trackS_adaptive_cooldown,20260108-192256-ief_fixed_cd0_theta0.50_w1,fixed_cd0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,0,0,0,0.0,0.0,0,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackS_adaptive_cooldown/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed5/20260108-192256-ief_fixed_cd0_theta0.50_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed5.csv,52847,0.19117452267867618,0.16015625,0.16553442028985507,39,7.379794501106969,1280.0,1280.0,,,,,ts_drift_adapt_severity,1000,0.18201908553102206,0.1811549385389379,178.4
S,INSECTS_abrupt_balanced,sample_idx,6,trackS_adaptive_cooldown,20260108-192256-ief_fixed_cd0_theta0.50_w1,fixed_cd0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,0,0,0,0.0,0.0,0,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackS_adaptive_cooldown/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed6/20260108-192256-ief_fixed_cd0_theta0.50_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed6.csv,52847,0.20790205688118532,0.140625,0.16536458333333334,39,7.379794501106969,1280.0,1280.0,,,,,ts_drift_adapt_severity,1000,0.1996344141263003,0.1988557499447071,178.4
S,INSECTS_abrupt_balanced,sample_idx,7,trackS_adaptive_cooldown,20260108-192256-ief_fixed_cd0_theta0.50_w1,fixed_cd0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,0,0,0,0.0,0.0,0,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackS_adaptive_cooldown/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed7/20260108-192256-ief_fixed_cd0_theta0.50_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed7.csv,52847,0.21670104263250517,0.17074275362318841,0.17074275362318841,41,7.758245501163737,1280.0,1280.0,,,,,ts_drift_adapt_severity,1000,0.2010889729349976,0.2003533832329526,178.4
S,INSECTS_abrupt_balanced,sample_idx,8,trackS_adaptive_cooldown,20260108-192256-ief_fixed_cd0_theta0.50_w1,fixed_cd0,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,0,0,0,0.0,0.0,0,0,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackS_adaptive_cooldown/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed8/20260108-192256-ief_fixed_cd0_theta0.50_w1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed8.csv,52847,0.20763714118114557,0.109375,0.15772192028985507,39,7.379794501106969,1280.0,1280.0,,,,,ts_drift_adapt_severity,1000,0.19107094331836708,0.19022028483022907,178.4
