track,dataset,unit,seed,experiment_name,run_id,group,model_variant,monitor_preset,trigger_mode,confirm_theta,confirm_window,confirm_cooldown,weights,use_severity_v2,severity_gate,severity_gate_min_streak,log_path,horizon,acc_final,acc_min_raw,acc_min@2000,post_mean@W1000,post_min@W1000,recovery_time_to_pre90,confirmed_count,confirm_rate_per_10k
X,INSECTS_abrupt_balanced,sample_idx,1,trackX_insects_gating_sweep,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed1/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed1.csv,52847,0.21350313168202548,0.12890625,0.1595901268115942,0.19527288542319665,0.19442887756981064,178.4,40,7.569020001135353
X,INSECTS_abrupt_balanced,sample_idx,2,trackX_insects_gating_sweep,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed2/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed2.csv,52847,0.19891384562983708,0.1484375,0.16244419642857144,0.18683832661703173,0.1862979891469247,178.4,39,7.379794501106969
X,INSECTS_abrupt_balanced,sample_idx,3,trackX_insects_gating_sweep,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed3/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed3.csv,52847,0.19418320812912748,0.1521434294871795,0.1521434294871795,0.17914653055960666,0.17852627858351464,178.4,38,7.190569001078585
X,INSECTS_abrupt_balanced,sample_idx,4,trackX_insects_gating_sweep,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed4/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed4.csv,52847,0.19738111907960718,0.16752232142857143,0.16752232142857143,0.1919518775881417,0.19084118026174587,178.4,38,7.190569001078585
X,INSECTS_abrupt_balanced,sample_idx,5,trackX_insects_gating_sweep,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed5/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed5.csv,52847,0.20635040778095257,0.1634963768115942,0.1634963768115942,0.1897642951187279,0.18893415504471572,178.4,39,7.379794501106969
X,INSECTS_abrupt_balanced,sample_idx,6,trackX_insects_gating_sweep,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed6/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed6.csv,52847,0.20126024183018904,0.15953351449275363,0.15953351449275363,0.18637405279461286,0.18569023897609677,178.4,38,7.190569001078585
X,INSECTS_abrupt_balanced,sample_idx,7,trackX_insects_gating_sweep,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed7/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed7.csv,52847,0.20300111643045016,0.16009963768115942,0.16009963768115942,0.18719707135918548,0.18634110442002608,178.4,40,7.569020001135353
X,INSECTS_abrupt_balanced,sample_idx,8,trackX_insects_gating_sweep,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed8/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed8.csv,52847,0.20741007058111152,0.125,0.15002264492753623,0.18328344111220407,0.18219675346952316,178.4,39,7.379794501106969
X,INSECTS_abrupt_balanced,sample_idx,9,trackX_insects_gating_sweep,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed9/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed9.csv,52847,0.19753249947962986,0.11328125,0.15834465579710144,0.1833390977685128,0.1826312513774498,178.4,40,7.569020001135353
X,INSECTS_abrupt_balanced,sample_idx,10,trackX_insects_gating_sweep,20260108-232618-nox_A_baseline_theta0.50_w1_cd200,A_baseline,ts_drift_adapt,"error_divergence_ph_meta@error.threshold=0.05,error.min_instances=5",two_stage,0.5,1,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",0,none,1,logs/trackX_insects_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt/seed10/20260108-232618-nox_A_baseline_theta0.50_w1_cd200/INSECTS_abrupt_balanced__ts_drift_adapt__seed10.csv,52847,0.19885707797982857,0.1617980072463768,0.1617980072463768,0.18893773677545556,0.1880315025417678,178.4,38,7.190569001078585
